Rank,Name,Pay,Salary/Winnings,Endorsements,Sport
1,Roger Federer,$106.30 ,$6.30 ,$100.00 ,Tennis   
2,Cristiano Ronaldo,$105 ,$60 ,$45.00 ,Soccer   
3,Lionel Messi,$104 ,$80 ,$24.00 ,Soccer   
4,Neymar,$95.50 ,$70.50 ,$25.00 ,Soccer   
5,LeBron James,$88.20 ,$28.20 ,$60.00 ,Basketball   
6,Stephen Curry,$74.40 ,$30.40 ,$44.00 ,Basketball   
7,Kevin Durant,$63.90 ,$28.90 ,$35.00 ,Basketball   
8,Tiger Woods,$62.30 ,$2.30 ,$60.00 ,Golf   
9,Kirk Cousins,$60.50 ,$58 ,$2.50 ,Football   
10,Carson Wentz,$59.10 ,$55.10 ,$4.00 ,Football   
11,Tyson Fury,$57 ,$50 ,$7.00 ,Boxing   
12,Russell Westbrook,$56 ,$29 ,$27.00 ,Basketball   
13,Lewis Hamilton,$54 ,$42 ,$12.00 ,Auto Racing  
14,Rory McIlroy,$52 ,$22 ,$30.00 ,Golf   
15,Jared Goff,$49 ,$47 ,$2.00 ,Football   
16,Conor McGregor,$48 ,$32 ,$16.00 ,Mixed Martial Arts 
17,James Harden,$47.80 ,$28.80 ,$19.00 ,Basketball   
18,Giannis Antetokounmpo,$47.60 ,$19.60 ,$28.00 ,Basketball   
19,Anthony Joshua,$47 ,$36 ,$11.00 ,Boxing   
20,Deontay Wilder,$46.50 ,$46 ,$0.00 ,Boxing   
21,Tom Brady,$45 ,$33 ,$12.00 ,Football   
22,Drew Brees,$44.80 ,$29.80 ,$15.00 ,Football   
23,Novak Djokovic,$44.60 ,$12.60 ,$32.00 ,Tennis   
24,Kyrie Irving,$41.90 ,$23.90 ,$18.00 ,Basketball   
25,Phil Mickelson,$40.80 ,$0.80 ,$40.00 ,Golf   
26,Julio Jones,$40.50 ,$37.50 ,$3.00 ,Football   
27,Rafael Nadal,$40 ,$14 ,$26.00 ,Tennis   
28,Klay Thompson,$38.80 ,$24.80 ,$14.00 ,Basketball   
29,Naomi Osaka,$37.40 ,$3.40 ,$34.00 ,Tennis   
30,Canelo Alvarez,$37 ,$35 ,$2.00 ,Boxing   
30,Damian Lillard,$37 ,$22.50 ,$14.50 ,Basketball   
32,Sebastian Vettel,$36.30 ,$36 ,$0.30 ,Auto Racing  
33,Serena Williams,$36 ,$4 ,$32.00 ,Tennis   
34,Mohamed Salah,$35.10 ,$23.10 ,$12.00 ,Soccer   
35,Chris Paul,$35 ,$29 ,$6.00 ,Basketball   
36,Kylian Mbappe,$33.80 ,$20.80 ,$13.00 ,Soccer   
37,Grady Jarrett,$33.10 ,$33 ,$0.05 ,Football   
38,Paul George,$32.80 ,$24.80 ,$8.00 ,Basketball   
39,Michael Thomas,$32.40 ,$31.60 ,$0.75 ,Football   
40,Kei Nishikori,$32.10 ,$1.10 ,$31.00 ,Tennis   
41,Blake Griffin,$31.90 ,$25.90 ,$6.00 ,Basketball   
